urgent_surgeries,location,region,conventional_surgeries,health_centre,period,scheduled_surgeries,ambulatory_surgeries,year,month
1122.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,2072.0,"Centro Hospitalar de Setúbal, EPE",2014-08,5412,3340,2014,8
1475.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,1702.0,"Centro Hospitalar do Oeste, EPE",2014-08,3872,2170,2014,8
3230.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,4178.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2014-08,10283,6105,2014,8
1352.0,"[41.4387173, -8.3086907]",Northern,3464.0,"Centro Hospitalar do Alto Ave, EPE",2014-08,7405,3941,2014,8
1546.0,"[41.3031784, -7.7515252]",Northern,2325.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2014-08,7370,5045,2014,8
1195.0,"[41.1794456, -8.6745115]",Northern,3209.0,"Unidade Local de Saúde de Matosinhos, EPE",2014-08,7979,4770,2014,8
1193.0,"[41.8056532, -6.7888197]",Northern,1345.0,"Unidade Local de Saúde do Nordeste, EPE",2014-08,3579,2234,2014,8
907.0,"[38.014123, -7.8721227]",Alentejo,1033.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2014-09,2277,1244,2014,9
598.0,"[40.117897, -8.8586755]",Central,1745.0,"Hospital Distrital da Figueira da Foz, EPE",2014-09,4031,2286,2014,9
823.0,"[40.5309916, -7.2734793]",Central,2172.0,"Unidade Local de Saúde da Guarda, EPE",2014-09,5864,3692,2014,9
4357.0,"[38.7500861, -9.1616116]",Lisbon and Tagus Valley,7632.0,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2014-09,16995,9363,2014,9
1245.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,2413.0,"Centro Hospitalar Médio Tejo, EPE",2014-09,5371,2958,2014,9
1785.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,3206.0,"Hospital Garcia de Orta, EPE",2014-09,8304,5098,2014,9
3859.0,"[41.1831056, -8.6010558]",Northern,12793.0,"Centro Hospitalar Universitário de São João, EPE",2014-09,28452,15659,2014,9
1508.0,"[41.4387173, -8.3086907]",Northern,3933.0,"Centro Hospitalar do Alto Ave, EPE",2014-09,8428,4495,2014,9
649.0,"[38.0162314, -8.6956768]",Alentejo,1114.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2014-10,3068,1954,2014,10
6019.0,"[40.2191523, -8.4098211]",Central,13462.0,"Centro Hospitalar e Universitário de Coimbra, EPE",2014-10,28241,14779,2014,10
1425.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,2587.0,"Centro Hospitalar de Setúbal, EPE",2014-10,6792,4205,2014,10
4399.0,"[41.1831056, -8.6010558]",Northern,14256.0,"Centro Hospitalar Universitário de São João, EPE",2014-10,32032,17776,2014,10
1692.0,"[41.4387173, -8.3086907]",Northern,4470.0,"Centro Hospitalar do Alto Ave, EPE",2014-10,9562,5092,2014,10
1340.0,"[41.3423984, -8.4802503]",Northern,2837.0,"Centro Hospitalar do Médio Ave, EPE",2014-10,8205,5368,2014,10
2480.0,"[41.2494561, -8.264901]",Northern,6176.0,"Centro Hospitalar Tâmega e Sousa, EPE",2014-10,15213,9037,2014,10
2285.0,"[41.56785, -8.398982]",Northern,7946.0,"Hospital de Braga, PPP",2014-10,20866,12920,2014,10
1498.0,"[41.1794456, -8.6745115]",Northern,4091.0,"Unidade Local de Saúde de Matosinhos, EPE",2014-10,10146,6055,2014,10
1108.0,"[38.014123, -7.8721227]",Alentejo,1341.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2014-11,3133,1792,2014,11
1833.0,"[40.6362453, -8.6543716]",Central,3041.0,"Centro Hospitalar do Baixo Vouga, EPE",2014-11,7968,4927,2014,11
6730.0,"[40.2191523, -8.4098211]",Central,14996.0,"Centro Hospitalar e Universitário de Coimbra, EPE",2014-11,31558,16562,2014,11
1017.0,"[40.5309916, -7.2734793]",Central,2691.0,"Unidade Local de Saúde da Guarda, EPE",2014-11,7253,4562,2014,11
1053.0,"[39.8212263, -7.4981271]",Central,2152.0,"Unidade Local de Saúde de Castelo Branco, EPE",2014-11,4744,2592,2014,11
7351.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,14237.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2014-11,31146,16909,2014,11
1553.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,2883.0,"Centro Hospitalar de Setúbal, EPE",2014-11,7478,4595,2014,11
1944.0,"[38.821455, -9.176296]",Lisbon and Tagus Valley,3572.0,"Hospital de Loures, PPP",2014-11,10307,6735,2014,11
239.0,"[38.7396768, -9.1634516]",Lisbon and Tagus Valley,4298.0,"Instituto Português Oncologia de Lisboa, EPE",2014-11,6545,2247,2014,11
1877.0,"[41.4387173, -8.3086907]",Northern,4967.0,"Centro Hospitalar do Alto Ave, EPE",2014-11,10763,5796,2014,11
442.0,"[41.1785642, -8.6062881]",Northern,5134.0,"Instituto Português Oncologia do Porto, EPE",2014-11,10901,5767,2014,11
786.0,"[38.0162314, -8.6956768]",Alentejo,1316.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2014-12,3560,2244,2014,12
1703.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,3096.0,"Centro Hospitalar de Setúbal, EPE",2014-12,7963,4867,2014,12
1623.0,"[39.2410946, -8.6937515]",Lisbon and Tagus Valley,2366.0,"Hospital Distrital de Santarém, EPE",2014-12,5615,3249,2014,12
1596.0,"[41.3423984, -8.4802503]",Northern,3383.0,"Centro Hospitalar do Médio Ave, EPE",2014-12,9864,6481,2014,12
483.0,"[41.1785642, -8.6062881]",Northern,5582.0,"Instituto Português Oncologia do Porto, EPE",2014-12,11920,6338,2014,12
2185.0,"[41.7056054, -8.8252713]",Northern,4124.0,"Unidade Local de Saúde do Alto Minho, EPE",2014-12,10186,6062,2014,12
75.0,"[40.5309916, -7.2734793]",Central,184.0,"Unidade Local de Saúde da Guarda, EPE",2015-01,584,400,2015,1
458.0,"[41.1472498, -8.6172617]",Northern,1087.0,"Centro Hospitalar Universitário do Porto, EPE",2015-01,2655,1568,2015,1
201.0,"[41.3031784, -7.7515252]",Northern,316.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2015-01,905,589,2015,1
14.0,"[41.5324234, -8.6171561]",Northern,83.0,"Hospital Santa Maria Maior, EPE",2015-01,299,216,2015,1
147.0,"[41.8056532, -6.7888197]",Northern,161.0,"Unidade Local de Saúde do Nordeste, EPE",2015-01,440,279,2015,1
256.0,"[38.5684861, -7.9032848]",Alentejo,844.0,"Hospital Espírito Santo de Évora, EPE",2015-02,2323,1479,2015,2
574.0,"[37.0238973, -7.9281554]",Algarve,816.0,"Centro Hospitalar Universitário do Algarve,EPE",2015-02,1704,888,2015,2
141.0,"[40.2804158, -7.4922407]",Central,369.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2015-02,887,518,2015,2
410.0,"[39.7414812, -8.7982706]",Central,688.0,"Centro Hospitalar de Leiria, EPE",2015-02,1926,1238,2015,2
300.0,"[40.6362453, -8.6543716]",Central,566.0,"Centro Hospitalar do Baixo Vouga, EPE",2015-02,1509,943,2015,2
431.0,"[40.516364, -8.0827433]",Central,1036.0,"Centro Hospitalar Tondela-Viseu, EPE",2015-02,3521,2485,2015,2
160.0,"[40.5309916, -7.2734793]",Central,373.0,"Unidade Local de Saúde da Guarda, EPE",2015-02,1159,786,2015,2
158.0,"[39.8212263, -7.4981271]",Central,404.0,"Unidade Local de Saúde de Castelo Branco, EPE",2015-02,897,493,2015,2
326.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,412.0,"Centro Hospitalar do Oeste, EPE",2015-02,915,503,2015,2
247.0,"[41.3423984, -8.4802503]",Northern,457.0,"Centro Hospitalar do Médio Ave, EPE",2015-02,1145,688,2015,2
856.0,"[41.1472498, -8.6172617]",Northern,2127.0,"Centro Hospitalar Universitário do Porto, EPE",2015-02,5141,3014,2015,2
435.0,"[41.2494561, -8.264901]",Northern,1319.0,"Centro Hospitalar Tâmega e Sousa, EPE",2015-02,3134,1815,2015,2
378.0,"[41.3031784, -7.7515252]",Northern,605.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2015-02,1837,1232,2015,2
419.0,"[41.1094138, -8.5972617]",Northern,1199.0,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",2015-02,3569,2370,2015,2
304.0,"[41.4387173, -8.3086907]",Northern,881.0,"Hospital da Senhora da Oliveira, Guimarães, EPE",2015-02,1849,968,2015,2
65.0,"[41.1785642, -8.6062881]",Northern,897.0,"Instituto Português Oncologia do Porto, EPE",2015-02,1970,1073,2015,2
208.0,"[39.3003425, -7.4263845]",Alentejo,559.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2015-03,1470,911,2015,3
491.0,"[40.6362453, -8.6543716]",Central,887.0,"Centro Hospitalar do Baixo Vouga, EPE",2015-03,2388,1501,2015,3
425.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,772.0,"Centro Hospitalar de Setúbal, EPE",2015-03,2235,1463,2015,3
558.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,597.0,"Centro Hospitalar do Oeste, EPE",2015-03,1407,810,2015,3
300.0,"[38.977235, -8.984506]",Lisbon and Tagus Valley,714.0,"Hospital de Vila Franca de Xira, PPP",2015-03,2419,1705,2015,3
268.0,"[40.2804158, -7.4922407]",Central,905.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2015-04,1928,1023,2015,4
889.0,"[39.7414812, -8.7982706]",Central,1571.0,"Centro Hospitalar de Leiria, EPE",2015-04,4056,2485,2015,4
1426.0,"[38.708454, -9.216985]",Lisbon and Tagus Valley,2553.0,"Centro Hospitalar de Lisboa Ocidental, EPE",2015-04,5253,2700,2015,4
729.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,1627.0,"Hospital Garcia de Orta, EPE",2015-04,3942,2315,2015,4
840.0,"[40.9293884, -8.5458794]",Northern,2290.0,"Centro Hospitalar Entre Douro e Vouga, EPE",2015-04,5454,3164,2015,4
857.0,"[41.1094138, -8.5972617]",Northern,2518.0,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",2015-04,7074,4556,2015,4
659.0,"[38.5684861, -7.9032848]",Alentejo,2329.0,"Hospital Espírito Santo de Évora, EPE",2015-05,5918,3589,2015,5
2039.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,2102.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2015-05,3944,1842,2015,5
909.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,2015.0,"Hospital Garcia de Orta, EPE",2015-05,5231,3216,2015,5
115.0,"[38.7396768, -9.1634516]",Lisbon and Tagus Valley,1900.0,"Instituto Português Oncologia de Lisboa, EPE",2015-05,3063,1163,2015,5
634.0,"[41.3423984, -8.4802503]",Northern,1220.0,"Centro Hospitalar do Médio Ave, EPE",2015-05,2984,1764,2015,5
844.0,"[41.4387173, -8.3086907]",Northern,2329.0,"Hospital da Senhora da Oliveira, Guimarães, EPE",2015-05,4961,2632,2015,5
921.0,"[41.7056054, -8.8252713]",Northern,1857.0,"Unidade Local de Saúde do Alto Minho, EPE",2015-05,4662,2805,2015,5
406.0,"[38.0162314, -8.6956768]",Alentejo,684.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2015-06,1214,530,2015,6
399.0,"[40.2804158, -7.4922407]",Central,1444.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2015-06,2990,1546,2015,6
1299.0,"[39.7414812, -8.7982706]",Central,2351.0,"Centro Hospitalar de Leiria, EPE",2015-06,6018,3667,2015,6
3533.0,"[40.2191523, -8.4098211]",Central,8690.0,"Centro Hospitalar e Universitário de Coimbra, EPE",2015-06,18510,9820,2015,6
418.0,"[40.117897, -8.8586755]",Central,1123.0,"Hospital Distrital da Figueira da Foz, EPE",2015-06,2913,1790,2015,6
575.0,"[39.8212263, -7.4981271]",Central,1311.0,"Unidade Local de Saúde de Castelo Branco, EPE",2015-06,2962,1651,2015,6
1127.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,1001.0,"Centro Hospitalar do Oeste, EPE",2015-06,2636,1635,2015,6
2551.0,"[38.7500861, -9.1616116]",Lisbon and Tagus Valley,8714.0,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2015-06,16564,7850,2015,6
714.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,1582.0,"Centro Hospitalar Médio Tejo, EPE",2015-06,3609,2027,2015,6
994.0,"[41.4387173, -8.3086907]",Northern,2792.0,"Hospital da Senhora da Oliveira, Guimarães, EPE",2015-06,5919,3127,2015,6
894.0,"[41.8056532, -6.7888197]",Northern,969.0,"Unidade Local de Saúde do Nordeste, EPE",2015-06,2691,1722,2015,6
1860.0,"[40.516364, -8.0827433]",Central,3977.0,"Centro Hospitalar Tondela-Viseu, EPE",2015-07,12680,8703,2015,7
682.0,"[39.8212263, -7.4981271]",Central,1526.0,"Unidade Local de Saúde de Castelo Branco, EPE",2015-07,3398,1872,2015,7
4553.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,8182.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2015-07,18214,10032,2015,7
2618.0,"[38.708454, -9.216985]",Lisbon and Tagus Valley,4365.0,"Centro Hospitalar de Lisboa Ocidental, EPE",2015-07,9039,4674,2015,7
991.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,1773.0,"Centro Hospitalar de Setúbal, EPE",2015-07,5566,3793,2015,7
1276.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,1157.0,"Centro Hospitalar do Oeste, EPE",2015-07,3037,1880,2015,7
829.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,1880.0,"Centro Hospitalar Médio Tejo, EPE",2015-07,4353,2473,2015,7
998.0,"[41.1794456, -8.6745115]",Northern,2911.0,"Unidade Local de Saúde de Matosinhos, EPE",2015-07,8293,5382,2015,7
2826.0,"[37.0238973, -7.9281554]",Algarve,3229.0,"Centro Hospitalar Universitário do Algarve,EPE",2015-08,6617,3388,2015,8
4780.0,"[40.2191523, -8.4098211]",Central,11056.0,"Centro Hospitalar e Universitário de Coimbra, EPE",2015-08,23370,12314,2015,8
2151.0,"[40.516364, -8.0827433]",Central,4370.0,"Centro Hospitalar Tondela-Viseu, EPE",2015-08,13716,9346,2015,8
5240.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,9064.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2015-08,20102,11038,2015,8
916.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,2102.0,"Centro Hospitalar Médio Tejo, EPE",2015-08,4872,2770,2015,8
807.0,"[38.977235, -8.984506]",Lisbon and Tagus Valley,1967.0,"Hospital de Vila Franca de Xira, PPP",2015-08,6389,4422,2015,8
3231.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,3733.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2015-08,7101,3368,2015,8
1725.0,"[40.9293884, -8.5458794]",Northern,4905.0,"Centro Hospitalar Entre Douro e Vouga, EPE",2015-08,10566,5661,2015,8
1796.0,"[41.1094138, -8.5972617]",Northern,4739.0,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",2015-08,13406,8667,2015,8
1917.0,"[41.56785, -8.398982]",Northern,6006.0,"Hospital de Braga, PPP",2015-08,16233,10227,2015,8
1210.0,"[41.8056532, -6.7888197]",Northern,1246.0,"Unidade Local de Saúde do Nordeste, EPE",2015-08,3646,2400,2015,8
626.0,"[38.0162314, -8.6956768]",Alentejo,1008.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2015-09,1699,691,2015,9
611.0,"[40.2804158, -7.4922407]",Central,1910.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2015-09,4134,2224,2015,9
3429.0,"[38.708454, -9.216985]",Lisbon and Tagus Valley,5451.0,"Centro Hospitalar de Lisboa Ocidental, EPE",2015-09,11239,5788,2015,9
3895.0,"[38.7500861, -9.1616116]",Lisbon and Tagus Valley,12290.0,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2015-09,23608,11318,2015,9
1816.0,"[38.729006, -9.418267]",Lisbon and Tagus Valley,1243.0,"Hospital de Cascais, PPP",2015-09,4770,3527,2015,9
1244.0,"[39.2410946, -8.6937515]",Lisbon and Tagus Valley,1190.0,"Hospital Distrital de Santarém, EPE",2015-09,3622,2432,2015,9
1645.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,3358.0,"Hospital Garcia de Orta, EPE",2015-09,8982,5624,2015,9
904.0,"[41.3828711, -8.7589945]",Northern,2253.0,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE",2015-09,3879,1626,2015,9
1763.0,"[41.3031784, -7.7515252]",Northern,2362.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2015-09,7504,5142,2015,9
955.0,"[38.014123, -7.8721227]",Alentejo,1547.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2015-10,3495,1948,2015,10
732.0,"[39.3003425, -7.4263845]",Alentejo,1822.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2015-10,4998,3176,2015,10
2240.0,"[39.7414812, -8.7982706]",Central,4004.0,"Centro Hospitalar de Leiria, EPE",2015-10,10120,6116,2015,10
814.0,"[40.5309916, -7.2734793]",Central,1884.0,"Unidade Local de Saúde da Guarda, EPE",2015-10,5395,3511,2015,10
969.0,"[39.8212263, -7.4981271]",Central,2130.0,"Unidade Local de Saúde de Castelo Branco, EPE",2015-10,4737,2607,2015,10
6561.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,11329.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2015-10,25069,13740,2015,10
1007.0,"[38.977235, -8.984506]",Lisbon and Tagus Valley,2477.0,"Hospital de Vila Franca de Xira, PPP",2015-10,8107,5630,2015,10
1823.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,3815.0,"Hospital Garcia de Orta, EPE",2015-10,10051,6236,2015,10
403.0,"[41.1785642, -8.6062881]",Northern,4684.0,"Instituto Português Oncologia do Porto, EPE",2015-10,10141,5457,2015,10
1874.0,"[41.7056054, -8.8252713]",Northern,3443.0,"Unidade Local de Saúde do Alto Minho, EPE",2015-10,8905,5462,2015,10
827.0,"[39.3003425, -7.4263845]",Alentejo,1982.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2015-11,5541,3559,2015,11
1979.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,1686.0,"Centro Hospitalar do Oeste, EPE",2015-11,4484,2798,2015,11
1304.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,2985.0,"Centro Hospitalar Médio Tejo, EPE",2015-11,7120,4135,2015,11
5072.0,"[41.1831056, -8.6010558]",Northern,16064.0,"Centro Hospitalar Universitário de São João, EPE",2015-11,35528,19464,2015,11
2120.0,"[41.3031784, -7.7515252]",Northern,3015.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2015-11,9531,6516,2015,11
126.0,"[41.5324234, -8.6171561]",Northern,1050.0,"Hospital Santa Maria Maior, EPE",2015-11,4064,3014,2015,11
2076.0,"[41.7056054, -8.8252713]",Northern,3852.0,"Unidade Local de Saúde do Alto Minho, EPE",2015-11,9923,6071,2015,11
817.0,"[38.0162314, -8.6956768]",Alentejo,1350.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2015-12,2715,1365,2015,12
2700.0,"[39.7414812, -8.7982706]",Central,4737.0,"Centro Hospitalar de Leiria, EPE",2015-12,12085,7348,2015,12
832.0,"[38.6554005, -9.0592392]",Lisbon and Tagus Valley,2590.0,"Centro Hospitalar Barreiro/Montijo, EPE",2015-12,5621,3031,2015,12
2139.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,1764.0,"Centro Hospitalar do Oeste, EPE",2015-12,4742,2978,2015,12
5323.0,"[38.7500861, -9.1616116]",Lisbon and Tagus Valley,16231.0,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2015-12,31746,15515,2015,12
1415.0,"[39.478072, -8.5404429]",Lisbon and Tagus Valley,3219.0,"Centro Hospitalar Médio Tejo, EPE",2015-12,7999,4780,2015,12
4934.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,5801.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2015-12,11675,5874,2015,12
1488.0,"[41.3423984, -8.4802503]",Northern,2616.0,"Centro Hospitalar do Médio Ave, EPE",2015-12,6521,3905,2015,12
2277.0,"[41.7056054, -8.8252713]",Northern,4181.0,"Unidade Local de Saúde do Alto Minho, EPE",2015-12,10830,6649,2015,12
1787.0,"[41.8056532, -6.7888197]",Northern,1888.0,"Unidade Local de Saúde do Nordeste, EPE",2015-12,5881,3993,2015,12
188.0,"[40.6362453, -8.6543716]",Central,282.0,"Centro Hospitalar do Baixo Vouga, EPE",2016-01,752,470,2016,1
97.0,"[40.5309916, -7.2734793]",Central,194.0,"Unidade Local de Saúde da Guarda, EPE",2016-01,625,431,2016,1
165.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,120.0,"Centro Hospitalar do Oeste, EPE",2016-01,344,224,2016,1
209.0,"[38.821455, -9.176296]",Lisbon and Tagus Valley,265.0,"Hospital de Loures, PPP",2016-01,954,689,2016,1
130.0,"[39.2410946, -8.6937515]",Lisbon and Tagus Valley,128.0,"Hospital Distrital de Santarém, EPE",2016-01,377,249,2016,1
433.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,462.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2016-01,1127,665,2016,1
79.0,"[41.3828711, -8.7589945]",Northern,249.0,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE",2016-01,447,198,2016,1
154.0,"[41.3031784, -7.7515252]",Northern,359.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2016-01,1087,728,2016,1
51.0,"[41.1785642, -8.6062881]",Northern,430.0,"Instituto Português Oncologia do Porto, EPE",2016-01,885,455,2016,1
206.0,"[38.014123, -7.8721227]",Alentejo,284.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2016-02,664,380,2016,2
131.0,"[38.0162314, -8.6956768]",Alentejo,232.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2016-02,735,503,2016,2
354.0,"[40.6362453, -8.6543716]",Central,565.0,"Centro Hospitalar do Baixo Vouga, EPE",2016-02,1506,941,2016,2
121.0,"[38.6554005, -9.0592392]",Lisbon and Tagus Valley,388.0,"Centro Hospitalar Barreiro/Montijo, EPE",2016-02,969,581,2016,2
941.0,"[38.7500861, -9.1616116]",Lisbon and Tagus Valley,2808.0,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2016-02,5446,2638,2016,2
406.0,"[38.821455, -9.176296]",Lisbon and Tagus Valley,584.0,"Hospital de Loures, PPP",2016-02,2057,1473,2016,2
49.0,"[38.7396768, -9.1634516]",Lisbon and Tagus Valley,733.0,"Instituto Português Oncologia de Lisboa, EPE",2016-02,1192,459,2016,2
424.0,"[41.56785, -8.398982]",Northern,1448.0,"Hospital de Braga, PPP",2016-02,4030,2582,2016,2
97.0,"[41.1785642, -8.6062881]",Northern,894.0,"Instituto Português Oncologia do Porto, EPE",2016-02,2013,1119,2016,2
1641.0,"[40.2191523, -8.4098211]",Central,4269.0,"Centro Hospitalar e Universitário de Coimbra, EPE",2016-03,9614,5345,2016,3
186.0,"[38.6554005, -9.0592392]",Lisbon and Tagus Valley,647.0,"Centro Hospitalar Barreiro/Montijo, EPE",2016-03,1534,887,2016,3
411.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,767.0,"Centro Hospitalar de Setúbal, EPE",2016-03,2384,1617,2016,3
1386.0,"[41.1831056, -8.6010558]",Northern,4481.0,"Centro Hospitalar Universitário de São João, EPE",2016-03,10021,5540,2016,3
514.0,"[41.3031784, -7.7515252]",Northern,1012.0,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",2016-03,3227,2215,2016,3
283.0,"[39.3003425, -7.4263845]",Alentejo,711.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2016-04,2205,1494,2016,4
2583.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,4631.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2016-04,9882,5251,2016,4
743.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,539.0,"Centro Hospitalar do Oeste, EPE",2016-04,1583,1044,2016,4
859.0,"[38.729006, -9.418267]",Lisbon and Tagus Valley,537.0,"Hospital de Cascais, PPP",2016-04,2517,1980,2016,4
563.0,"[39.2410946, -8.6937515]",Lisbon and Tagus Valley,522.0,"Hospital Distrital de Santarém, EPE",2016-04,1595,1073,2016,4
569.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,1445.0,"Hospital Garcia de Orta, EPE",2016-04,4354,2909,2016,4
948.0,"[41.2494561, -8.264901]",Northern,2365.0,"Centro Hospitalar Tâmega e Sousa, EPE",2016-04,7337,4972,2016,4
950.0,"[41.1094138, -8.5972617]",Northern,2908.0,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",2016-04,7553,4645,2016,4
599.0,"[41.1794456, -8.6745115]",Northern,1572.0,"Unidade Local de Saúde de Matosinhos, EPE",2016-04,4601,3029,2016,4
323.0,"[38.0162314, -8.6956768]",Alentejo,520.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2016-05,1933,1413,2016,5
350.0,"[40.2804158, -7.4922407]",Central,1329.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2016-05,2999,1670,2016,5
887.0,"[40.6362453, -8.6543716]",Central,1415.0,"Centro Hospitalar do Baixo Vouga, EPE",2016-05,3875,2460,2016,5
333.0,"[40.117897, -8.8586755]",Central,1042.0,"Hospital Distrital da Figueira da Foz, EPE",2016-05,2608,1566,2016,5
3227.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,5825.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2016-05,12519,6694,2016,5
1091.0,"[38.729006, -9.418267]",Lisbon and Tagus Valley,689.0,"Hospital de Cascais, PPP",2016-05,3161,2472,2016,5
131.0,"[38.7396768, -9.1634516]",Lisbon and Tagus Valley,1969.0,"Instituto Português Oncologia de Lisboa, EPE",2016-05,3216,1247,2016,5
2296.0,"[41.1831056, -8.6010558]",Northern,7562.0,"Centro Hospitalar Universitário de São João, EPE",2016-05,16905,9343,2016,5
850.0,"[41.4387173, -8.3086907]",Northern,2315.0,"Hospital da Senhora da Oliveira, Guimarães, EPE",2016-05,4867,2552,2016,5
699.0,"[41.8056532, -6.7888197]",Northern,783.0,"Unidade Local de Saúde do Nordeste, EPE",2016-05,2044,1261,2016,5
824.0,"[38.5684861, -7.9032848]",Alentejo,2328.0,"Hospital Espírito Santo de Évora, EPE",2016-06,6430,4102,2016,6
391.0,"[38.0162314, -8.6956768]",Alentejo,618.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2016-06,2373,1755,2016,6
1921.0,"[37.0238973, -7.9281554]",Algarve,2013.0,"Centro Hospitalar Universitário do Algarve,EPE",2016-06,4610,2597,2016,6
3887.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,6969.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2016-06,14963,7994,2016,6
2558.0,"[41.1472498, -8.6172617]",Northern,6063.0,"Centro Hospitalar Universitário do Porto, EPE",2016-06,15517,9454,2016,6
934.0,"[38.5684861, -7.9032848]",Alentejo,2685.0,"Hospital Espírito Santo de Évora, EPE",2016-07,7366,4681,2016,7
